Packet sent; type=ACK; seqNum=93; length=16; checksum=8817f5f7

Packet sent; type=ACK; seqNum=94; length=16; checksum=cfb78f27

Packet sent; type=ACK; seqNum=95; length=16; checksum=f2d7a697

Packet sent; type=ACK; seqNum=96; length=16; checksum=d1a689c0

Packet sent; type=ACK; seqNum=97; length=16; checksum=ecc6a070

Packet sent; type=ACK; seqNum=98; length=16; checksum=ab66daa0

Packet sent; type=ACK; seqNum=99; length=16; checksum=9606f310

Packet sent; type=ACK; seqNum=100; length=16; checksum=24262f00

Packet sent; type=ACK; seqNum=101; length=16; checksum=194606b0

Packet sent; type=ACK; seqNum=102; length=16; checksum=5ee67c60

Packet sent; type=ACK; seqNum=103; length=16; checksum=638655d0

Packet sent; type=ACK; seqNum=104; length=16; checksum=e1d6c201

Packet sent; type=ACK; seqNum=105; length=16; checksum=dcb6ebb1

Packet sent; type=ACK; seqNum=106; length=16; checksum=9b169161

Packet sent; type=ACK; seqNum=107; length=16; checksum=a676b8d1

Packet sent; type=ACK; seqNum=108; length=16; checksum=145664c1

Packet sent; type=ACK; seqNum=109; length=16; checksum=29364d71

Packet sent; type=ACK; seqNum=110; length=16; checksum=6e9637a1

Packet sent; type=ACK; seqNum=111; length=16; checksum=53f61e11

Packet sent; type=ACK; seqNum=112; length=16; checksum=b1461e42

Packet sent; type=ACK; seqNum=113; length=16; checksum=8c2637f2

Packet sent; type=ACK; seqNum=114; length=16; checksum=cb864d22

Packet sent; type=ACK; seqNum=115; length=16; checksum=f6e66492

Packet sent; type=ACK; seqNum=116; length=16; checksum=44c6b882

Packet sent; type=ACK; seqNum=117; length=16; checksum=79a69132

Packet sent; type=ACK; seqNum=118; length=16; checksum=3e06ebe2

Packet sent; type=ACK; seqNum=119; length=16; checksum=0366c252

Packet received; type=DATA; seqNum=0; length=1472; checksum_in_packet=8abde4d9;
checksum_calculated=8abde4d9; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=1; length=1472; checksum_in_packet=b7ddcd69;
checksum_calculated=b7ddcd69; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=2; length=1472; checksum_in_packet=f07db7b9;
checksum_calculated=f07db7b9; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=3; length=1472; checksum_in_packet=cd1d9e09;
checksum_calculated=cd1d9e09; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=4; length=1472; checksum_in_packet=7f3d4219;
checksum_calculated=7f3d4219; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=5; length=1472; checksum_in_packet=425d6ba9;
checksum_calculated=425d6ba9; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=6; length=1472; checksum_in_packet=05fd1179;
checksum_calculated=05fd1179; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=7; length=1472; checksum_in_packet=389d38c9;
checksum_calculated=389d38c9; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=8; length=1472; checksum_in_packet=bacdaf18;
checksum_calculated=bacdaf18; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=9; length=1472; checksum_in_packet=87ad86a8;
checksum_calculated=87ad86a8; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=10; length=1472; checksum_in_packet=c00dfc78;
checksum_calculated=c00dfc78; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=11; length=1472; checksum_in_packet=fd6dd5c8;
checksum_calculated=fd6dd5c8; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=12; length=1472; checksum_in_packet=4f4d09d8;
checksum_calculated=4f4d09d8; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=13; length=1472; checksum_in_packet=722d2068;
checksum_calculated=722d2068; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=14; length=1472; checksum_in_packet=358d5ab8;
checksum_calculated=358d5ab8; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=15; length=1472; checksum_in_packet=08ed7308;
checksum_calculated=08ed7308; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=16; length=1472; checksum_in_packet=ea5d735b;
checksum_calculated=ea5d735b; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=17; length=1472; checksum_in_packet=d73d5aeb;
checksum_calculated=d73d5aeb; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=18; length=1472; checksum_in_packet=909d203b;
checksum_calculated=909d203b; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=19; length=1472; checksum_in_packet=adfd098b;
checksum_calculated=adfd098b; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=20; length=1472; checksum_in_packet=1fddd59b;
checksum_calculated=1fddd59b; status=NOT_CORRUPT

